City,Continent,Class,Skewness,Dip_Statistic,Mean_Height
Asheville,NORTH AMERICA,Pyramid,3.197392009,0.875531213,0.684323892
Ashgabat,ASIA,Hourglass,0.857562506,0,1.850612856
Asino,ASIA,Pyramid,1.149397651,1,1.072940329
Asmara,AFRICA,Pyramid,1.518687601,0.023777691,0.995534011
Asosa,AFRICA,Hourglass,0.198023077,3.88E-05,1.659478211
Assab,AFRICA,Pyramid,1.674671982,0.924988416,0.869131057
Assis,SOUTH AMERICA,Hourglass,1.29596018,0,0.928527253
Astana,ASIA,Hourglass,1.797745204,0,2.841835537
Asti,EUROPE,Pyramid,1.279969091,0.996872717,1.495207018
Astoria,NORTH AMERICA,Pyramid,1.392951959,0.897491997,1.098456792
Astrakhan,EUROPE,Hourglass,0.96670982,0,2.11020609
Asuncion,SOUTH AMERICA,Hourglass,1.059026013,0,1.558320587
Aswan,AFRICA,Pyramid,1.097131762,0.04934417,1.563801645
Asyut,AFRICA,Hourglass,2.463097441,0,0.730678573
At Bashy,ASIA,Pyramid,1.460402059,1,0.67786021
At Taif,ASIA,Hourglass,0.433572944,8.35E-05,3.042930629
Atakpame,AFRICA,Pyramid,1.107426851,0.917391845,0.964908448
Atamyrat,ASIA,Diamond,0.406761502,0.858884518,1.293695111
Atar,AFRICA,Hourglass,0.644483274,8.79E-06,0.791242113
Atasu,ASIA,Pyramid,0.923405473,0.999317025,0.881975281
Atbara,AFRICA,Hourglass,-0.141755623,0,1.606472171
Atbasar,ASIA,Hourglass,1.6321615,0,1.702712683
Athabasca,NORTH AMERICA,Pyramid,1.074190695,0.99025606,0.331127086
Athens1,NORTH AMERICA,Pyramid,3.253334846,0.870943699,0.725898704
Athens2,EUROPE,Hourglass,0.580825559,0,2.888673728
Atherton,AUSTRALIA,Diamond,0.409901242,0.179515009,1.380846261
Ati,AFRICA,Hourglass,-0.002738244,0,1.50289049
Atikokan,NORTH AMERICA,Pyramid,1.981905058,1,0.153733504
Atkarsk,EUROPE,Pyramid,0.945695146,0.981539434,1.275560809
Atlanta,NORTH AMERICA,Hourglass,3.414448436,2.06E-05,1.047918765
Atlantic City,NORTH AMERICA,Hourglass,2.27398687,0,1.612068973
Atlixco,NORTH AMERICA,Pyramid,1.077447181,0.25699848,1.409014356
Atoyac,NORTH AMERICA,Pyramid,1.025030308,0.997468897,1.286341362
Atyrau,ASIA,Hourglass,1.543466608,0,2.515514497
Auburn,NORTH AMERICA,Pyramid,3.475983432,0.990141496,0.892690036
Auckland,AUSTRALIA,Hourglass,1.800920528,0,4.255974622
Augsburg,EUROPE,Hourglass,1.685913406,7.27E-05,1.526223338
Augusta1,NORTH AMERICA,Pyramid,3.313310414,0.758633108,0.943721094
Augusta2,NORTH AMERICA,Pyramid,3.086027336,0.97307352,0.578797651
Aurangabad1,ASIA,Hourglass,8.114521808,0,0.076949244
Aurangabad2,ASIA,Hourglass,2.013057303,3.36E-06,0.815518939
Aurora1,NORTH AMERICA,Hourglass,1.726601681,0,1.701985447
Aurora2,NORTH AMERICA,Hourglass,1.991802717,0,1.410493279
Austin,NORTH AMERICA,Hourglass,2.654521515,0,1.277851489
Autlan,NORTH AMERICA,Hourglass,0.500655918,0,1.774554286
Auxerre,EUROPE,Pyramid,1.989408858,0.548269765,1.255278194
Avare,SOUTH AMERICA,Hourglass,0.941758086,0,1.32389671
Aweil,AFRICA,Pyramid,0.585256982,0.016037136,1.256240503
Awka,AFRICA,Pyramid,1.314239803,0.104659078,0.773056369
Ayacucho,SOUTH AMERICA,Hourglass,0.349638249,0,2.605805181
Ayakoz,ASIA,Hourglass,0.56139729,0,1.412925121
Ayapel,SOUTH AMERICA,Pyramid,1.659550153,0.598842379,0.710960332
Ayaviri,SOUTH AMERICA,Hourglass,0.298235055,0,1.543390247
Aydin,ASIA,Pyramid,2.919421358,0.098191588,0.637263092
Ayorou,AFRICA,Diamond,0.191390086,0.008877668,1.124072662
Ayounel el Atrous,AFRICA,Diamond,-0.19723899,0.252674298,1.963137193
Ayr1,EUROPE,Pyramid,0.971068146,0.419938334,1.395545009
Ayr2,AUSTRALIA,Hourglass,0.299761187,0,1.424338021
Ayutthaya,ASIA,Pyramid,1.569405261,0.99846498,1.471613332
Az Aubayr,ASIA,Hourglass,0.990050943,0,1.204393398
Az Zahran,ASIA,Pyramid,1.006849492,0.89227294,2.024396683
Az Zarqa,ASIA,Hourglass,0.333441272,0,2.911627187
Az Zawiyah,AFRICA,Pyramid,4.094988032,0.576887288,2.352705414
